Currency,Rate
AED,3.976435
AFN,93.860458
ALL,113.882688
AMD,420.436357
ANG,1.950717
AOA,546.593827
ARS,225.033137
AUD,1.6211
AWG,1.949023
AZN,1.830854
BAM,1.956027
BBD,2.185443
BDT,116.573527
BGN,1.954196
BHD,0.408265
BIF,2251.650873
BMD,1.082791
BND,1.43816
BOB,7.479833
BRL,5.594347
BSD,1.082421
BTC,4.0200133e-05
BTN,88.989915
BWP,14.260589
BYN,2.732604
BYR,21222.696573
BZD,2.181743
CAD,1.478664
CDF,2225.135423
CHF,0.994835
CLF,0.031483
CLP,868.48486
CNY,7.446778
COP,5039.773246
CRC,587.16542
CUC,1.082791
CUP,28.693952
CVE,110.272795
CZK,23.651611
DJF,192.721472
DKK,7.44765
DOP,59.386617
DZD,146.998587
EGP,33.45363
ERN,16.24186
ETB,58.332099
EUR,1.0
FJD,2.395079
FKP,0.881849
GBP,0.879789
GEL,2.788177
GGP,0.881849
GHS,13.042453
GIP,0.881849
GMD,66.72694
GNF,9305.079714
GTQ,8.43694
GYD,228.385446
HKD,8.499765
HNL,26.698098
HRK,7.599321
HTG,167.768692
HUF,381.965609
IDR,16330.919153
ILS,3.851855
IMP,0.881849
INR,88.973936
IQD,1419.058107
IRR,45774.974209
ISK,148.093645
JEP,0.881849
JMD,163.328198
JOD,0.768675
JPY,141.70968
KES,142.709927
KGS,94.657845
KHR,4389.489065
KMF,499.492153
KPW,974.416209
KRW,1407.416712
KWD,0.331638
KYD,0.902
KZT,491.414752
LAK,18291.037936
LBP,16246.710163
LKR,351.799196
LRD,174.613251
LSL,19.804093
LTL,3.197199
LVL,0.654969
LYD,5.185602
MAD,11.087935
MDL,19.986227
MGA,4690.522605
MKD,61.597401
MMK,2273.053257
MNT,3821.716022
MOP,8.752175
MRO,386.556073
MUR,49.981438
MVR,16.696907
MWK,1111.723865
MXN,19.82666
MYR,4.765904
MZN,68.323748
NAD,19.804575
NGN,498.462746
NIO,39.58441
NOK,11.291644
NPR,142.383864
NZD,1.737072
OMR,0.416855
PAB,1.082421
PEN,4.083055
PGK,3.814425
PHP,58.8767
PKR,306.940298
PLN,4.683592
PYG,7774.866254
QAR,3.942445
RON,4.954091
RSD,117.304143
RUB,82.898446
RWF,1207.934585
SAR,4.066437
SBD,8.900673
SCR,13.871002
SDG,644.260689
SEK,11.213811
SGD,1.4378
SHP,1.317486
SLE,23.034294
SLL,21385.114722
SOS,615.569108
SRD,38.507825
STD,22411.580133
SVC,9.471099
SYP,2720.369249
SZL,19.719197
THB,37.078014
TJS,11.825218
TMT,3.800595
TND,3.372861
TOP,2.554197
TRY,20.695159
TTD,7.346819
TWD,32.865952
TZS,2532.78268
UAH,39.974454
UGX,4085.45519
USD,1.082791
UYU,42.164893
UZS,12330.43076
VEF,2635850.396884
VES,26.388797
VND,25440.166122
VUV,129.186808
WST,2.956233
XAF,656.073098
XAG,0.047051
XAU,0.000552
XCD,2.926296
XDR,0.80679
XOF,656.076128
XPF,120.920635
YER,271.02447
ZAR,19.688003
ZMK,9746.412368
ZMW,23.027566
ZWL,348.658145
